4.03304,-3.36045,2.88087,-1.98012
0.127224,-2.41226,2.48,-1.59616
8.60406,-2.46597,6.58423,-4.96958
0.252496,-4.33037,-2.55576,-3.99959
8.50455,-2.11602,7.57457,-3.97741
1.41084,-1.91868,2.2353,-1.60994
9.51933,-1.80198,8.91006,-3.63147
4.75482,-1.83192,-0.806919,-2.62766
0.434709,-0.953127,3.95058,-1.36224
8.51518,-2.75886,7.44269,-0.409612
7.3708,-4.24948,5.95617,-5.13212
1.25894,-2.26138,-0.0852244,-2.10201
0.701549,-4.06798,-0.966075,-4.13235
5.59535,-3.38053,4.18658,-3.43966
8.28103,-2.81378,8.09423,-1.14657
2.58669,-5.20195,6.65252,-4.85147
7.38618,0.287254,1.07619,-0.552202
5.72394,-1.33566,3.59148,-1.23327
4.8267,-3.58205,3.98039,-3.25663
1.977,-0.444152,-2.17398,-1.47653
3.79761,-1.14661,6.97383,-1.76199
-0.639477,-2.73612,0.388838,-2.73372
4.24963,-5.13882,2.69987,-5.26458
-2.58275,-3.92304,-2.8971,-2.36728
1.67507,-3.66774,0.215468,-3.95767
1.73377,-1.9773,-0.34213,-2.25961
-2.95866,-2.52624,-2.72618,-3.75733
-2.38776,-4.24919,-2.80696,-2.13473
8.7112,-0.760054,7.38929,0.176204
2.83965,-0.257648,4.43735,-0.00880539
3.46159,-1.38272,2.14046,-1.17862
5.96931,-3.12053,6.04186,-1.52833
-1.13088,-1.03647,-2.71518,-2.03317
-0.738301,-4.65692,-3.05176,-3.51067
5.49297,-1.17283,3.80592,-1.27142
0.214895,-0.80198,-0.279069,-0.591163
6.85841,0.32409,8.34896,-0.357705
9.70169,-2.36128,8.34771,-0.396358
5.84853,-1.52877,3.1137,-2.17269
-2.34411,-4.36708,-1.0956,-4.9412
-3.05828,-2.80499,-2.2206,-1.49702
5.11971,-5.07288,6.51616,-4.97742
-0.126048,-4.21369,0.525546,-4.20374
3.88565,0.512368,0.26419,0.708527
5.89414,0.299386,4.9635,0.0209328
6.64574,-1.54463,7.18938,-2.0931
3.75037,-4.94087,5.39406,-4.87476
-0.421241,-0.988986,-1.27602,-1.1735
2.36955,-1.65996,3.11937,-1.94764
6.16706,-2.53848,5.7419,-1.38395
8.71181,-0.811656,9.40302,-2.30251
-0.42215,-3.45529,-0.624992,-2.66252
1.65855,-3.72095,2.54042,-5.15105
1.91155,-3.84766,0.758636,-3.65562
7.14654,-0.0583903,4.16632,0.525366
8.10229,-1.92745,7.15601,-0.119756
6.12688,-2.82488,4.90409,-3.60231
0.689705,-2.57136,-0.539275,-2.56274
8.80964,-0.972719,9.67355,-2.15959
4.76287,0.47643,5.7491,0.324476
1.40077,-2.08044,0.370342,-2.5346
7.24967,-0.266768,7.97017,-1.04562
7.61731,-3.78076,7.01377,-4.58623
6.02279,0.484252,6.61762,0.327275
6.64759,0.251651,7.33268,-0.520482
5.69619,-3.28504,6.20571,-2.23999
2.5714,-2.11462,1.27418,-2.21189
-0.286822,0.602897,0.540105,0.639829
1.73649,-3.8821,2.3843,-5.04532
0.100945,-2.87318,-0.379368,-2.28718
4.8777,0.359337,3.28397,0.447313
