-0.933439,2.70512,-0.889105,2.48345
-0.88911,2.4835,-0.84477,2.38
-0.84477,2.38,-0.84477,2.1879
-0.84477,2.1879,-0.80044,2.0106
-0.80044,2.0106,-0.69699,1.7298
-0.69699,1.7298,-0.69699,1.6411
-0.69699,1.6411,-0.68221,1.5229
-0.68221,1.5229,-0.6231,1.449
-0.6231,1.449,-0.59355,1.3603
-0.59355,1.3603,-0.51966,1.3012
-0.51966,1.3012,-0.3571,1.1239
-0.3571,1.1239,-0.15021,0.9761
-0.15021,0.9761,-0.076321,0.90222
-0.076321,0.90222,0.26357,0.87266
0.26357,0.87266,0.44091,0.81355
0.44091,0.81355,0.69213,0.82833
0.69213,0.82833,0.7808,0.96133
0.7808,0.96133,1.2832,1.5377
1.2832,1.5377,1.3867,1.7741
1.3867,1.7741,1.3867,2.0697
1.3867,2.0697,1.4458,2.3504
1.4458,2.3504,1.2685,2.7051
1.2685,2.7051,1.165,2.9268
1.165,2.9268,1.0172,3.2667
1.0172,3.2667,0.9138,3.4736
0.9138,3.4736,0.82513,3.8282
0.82513,3.8282,0.72169,4.242
0.72169,4.242,0.72169,4.5967
0.72169,4.5967,0.70691,4.9957
0.70691,4.9957,0.72169,5.4686
0.72169,5.4686,0.67735,5.7198
0.67735,5.7198,0.86946,5.7937
0.86946,5.7937,0.98769,6.0154
0.98769,6.0154,1.0616,6.3405
1.0616,6.3405,1.1502,6.9316
1.1502,6.9316,1.2389,7.3897
1.2389,7.3897,1.2241,7.7
1.2241,7.7,1.1059,8.0991
1.1059,8.0991,0.92858,8.3651
0.92858,8.3651,0.73646,8.4242
0.73646,8.4242,0.24879,8.3946
0.24879,8.3946,-0.12065,8.3059
-0.12065,8.3059,-0.23888,8.1877
-0.23888,8.1877,-0.46055,7.966
-0.46055,7.966,-0.51966,7.8626
-0.51966,7.8626,-0.63788,7.7887
-0.63788,7.7887,-0.72655,7.567
-0.72655,7.567,-0.7561,7.3602
-0.7561,7.3602,-0.90388,7.0646
-0.90388,7.0646,-0.88911,6.8873
-0.88911,6.8873,-0.90388,6.7247
-0.90388,6.7247,-0.91866,6.5917
-0.91866,6.5917,-0.93344,6.4439
-0.93344,6.4439,-0.94822,6.2075
-0.94822,6.2075,-0.96299,6.0301
-0.96299,6.0301,-0.96299,5.7789
-0.96299,5.7789,-0.94822,5.572
-0.94822,5.572,-0.88911,5.4095
-0.88911,5.4095,-0.87433,5.2174
-0.87433,5.2174,-0.82999,5.0252
-0.82999,5.0252,-0.90388,4.8036
